Age,Budget,Interet,Duree,Climat,Destination
54,2978,Plage,8,Chaud,Dubai
44,4262,Aventure,10,Froid,Queenstown
38,1839,Ile,11,Tempéré,Tokyo
20,1985,Historique,5,Tempéré,Rome
37,3839,Megalopole,8,Chaud,New York
45,3244,Ile,3,Froid,Santorin
25,937,Historique,4,Froid,Kyoto
44,2535,Culture,9,Tempéré,New York
35,2768,Culture,9,Chaud,Buenos Aires
56,2992,Historique,10,Tempéré,Amazonie
45,847,Nature,10,Chaud,Le Cap
45,2639,Aventure,9,Chaud,Le Cap
46,2877,Plage,6,Froid,Rio de Janeiro
26,1018,Aventure,5,Froid,Queenstown
34,1388,Plage,3,Froid,Vancouver
19,1373,Nature,14,Tempéré,Iles Galapagos
45,2085,Culture,4,Chaud,Londres
30,1916,Culture,9,Chaud,Amsterdam
38,1276,Nature,13,Tempéré,Vancouver
49,2707,Nature,12,Froid,Iles Galapagos
32,1263,Nature,14,Tempéré,Amazonie
18,1895,Aventure,10,Tempéré,Paris
45,5546,Nature,3,Froid,Vancouver
50,4184,Megalopole,11,Chaud,Sydney
34,2586,Ile,7,Chaud,Bali
19,1617,Ile,12,Tempéré,Amazonie
43,3236,Culture,6,Chaud,Buenos Aires
42,1358,Plage,4,Froid,Rio de Janeiro
32,2087,Megalopole,4,Chaud,Bangkok
44,1352,Culture,7,Chaud,Zanzibar
40,2015,Plage,3,Froid,Machu Picchu
35,1595,Culture,5,Froid,Amsterdam
37,2231,Megalopole,14,Tempéré,Tokyo
33,778,Historique,10,Tempéré,Tokyo
18,500,Nature,4,Froid,Vancouver
32,1393,Plage,7,Tempéré,Le Cap
40,2671,Historique,8,Tempéré,Paris
27,2077,Nature,10,Froid,Prague
27,1926,Nature,6,Froid,Amsterdam
33,1962,Megalopole,3,Chaud,Tokyo
37,2901,Plage,5,Chaud,Santorin
39,2355,Aventure,8,Tempéré,Machu Picchu
20,1791,Megalopole,9,Froid,Bangkok
41,1336,Plage,12,Froid,Cancun
36,2486,Megalopole,6,Froid,Vancouver
37,1687,Historique,11,Chaud,Los Angeles
42,1832,Historique,6,Tempéré,Machu Picchu
49,4072,Nature,7,Tempéré,Le Cap
32,1811,Historique,17,Froid,Marrakech
28,1906,Plage,3,Tempéré,Santorin
44,2942,Ile,5,Chaud,Buenos Aires
20,1493,Nature,9,Chaud,Vancouver
30,1229,Culture,5,Tempéré,Queenstown
41,1509,Nature,9,Chaud,Le Cap
44,1630,Megalopole,5,Chaud,Tokyo
46,2944,Nature,5,Chaud,Le Caire
18,784,Megalopole,8,Tempéré,New York
20,1432,Ile,7,Chaud,Bali
28,2110,Culture,7,Tempéré,Santorin
44,3828,Megalopole,3,Chaud,Bangkok
36,1086,Megalopole,4,Chaud,Amazonie
39,905,Historique,4,Tempéré,Le Caire
31,2502,Aventure,8,Tempéré,Iles Galapagos
38,965,Megalopole,19,Chaud,Los Angeles
20,2788,Megalopole,4,Chaud,Dubai
51,2729,Ile,11,Chaud,Barcelone
22,1929,Ile,6,Tempéré,Zanzibar
34,3049,Aventure,11,Chaud,Le Cap
28,2266,Culture,7,Froid,Marrakech
67,3507,Culture,9,Tempéré,Paris
37,1497,Aventure,12,Tempéré,Zanzibar
32,2785,Ile,4,Chaud,Los Angeles
32,1315,Historique,5,Chaud,Rome
55,2701,Megalopole,7,Froid,Sydney
42,2675,Aventure,3,Chaud,Iles Galapagos
22,1583,Megalopole,5,Tempéré,Dubai
38,2761,Historique,6,Froid,Rome
28,1859,Ile,10,Chaud,Marrakech
30,2613,Culture,6,Chaud,Barcelone
33,1262,Plage,4,Chaud,Rio de Janeiro
38,3623,Historique,14,Froid,Rio de Janeiro
19,1010,Aventure,14,Froid,Zanzibar
18,500,Nature,5,Froid,Le Cap
42,3362,Plage,9,Tempéré,Queenstown
51,1753,Aventure,5,Froid,Prague
26,977,Plage,8,Froid,Bangkok
18,1593,Ile,6,Froid,Bali
25,2505,Nature,5,Tempéré,Iles Galapagos
32,1604,Historique,3,Chaud,Queenstown
36,2751,Megalopole,7,Tempéré,New York
